계정코드,계정명,부서,금액,부서명
S4107,전산비-백업테이프,IT운영팀,18900000,IT운영팀
C1008,전산비-H/W정비료,IT운영팀,25100000,IT운영팀
C1010,지급임차료-사무기기(본사),IT운영팀,21100000,IT운영팀
C1007,보험료-일반비품,IT운영팀,21500000,IT운영팀
S4105,전산비-기타-임차,IT운영팀,11100000,IT운영팀
S4106,전산비-서버운영용역,IT운영팀,27600000,IT운영팀
C1013,도서신문비-도서비,IT운영팀,12400000,IT운영팀
C1001,여비교통비-국내출장,IT운영팀,17800000,IT운영팀
C1005,소모품비-문구등,IT운영팀,5400000,IT운영팀
C1002,통신비-전화료(본사),IT운영팀,8000000,IT운영팀
S4104,전산비-호스트S/W정비료,IT운영팀,4000000,IT운영팀
C1009,소모품비-사무가구소모품,IT운영팀,20500000,IT운영팀
S4117,복리후생비-시설사용료,IT운영팀,16900000,IT운영팀
S4103,전산비-네트웍운영용역,IT운영팀,11400000,IT운영팀
S4108,전산비-기타-기타,IT운영팀,13400000,IT운영팀
S4113,전산비-사용자지원용역,IT운영팀,17000000,IT운영팀
C1014,협회비-기타,IT운영팀,13800000,IT운영팀
S4116,전산비-프린터토너(본사외),IT운영팀,28000000,IT운영팀
C1012,복리후생비-경조금,IT운영팀,3700000,IT운영팀
C1004,장부인쇄비-각종,IT운영팀,9600000,IT운영팀
