계정코드,계정명,부서,금액,부서명
S4231,소모품비-통신소모품,경영기획팀,19300000,경영기획팀
C1002,통신비-전화료(본사),경영기획팀,15900000,경영기획팀
C1007,보험료-일반비품,경영기획팀,16500000,경영기획팀
C1004,장부인쇄비-각종,경영기획팀,26300000,경영기획팀
C1003,회의비-사내-워크샵,경영기획팀,16600000,경영기획팀
C1011,접대비-기타-기타,경영기획팀,20100000,경영기획팀
S4224,행사비-주주총회,경영기획팀,10200000,경영기획팀
C1010,지급임차료-사무기기(본사),경영기획팀,24400000,경영기획팀
C1006,수선비-비품수선-집기,경영기획팀,12000000,경영기획팀
S4229,전산비-SM용역료,경영기획팀,5700000,경영기획팀
C1008,전산비-H/W정비료,경영기획팀,24400000,경영기획팀
S4225,행사비-창립기념,경영기획팀,5900000,경영기획팀
S4230,광고선전비-옥외안전등,경영기획팀,1600000,경영기획팀
S4226,수수료-아웃소싱(부속실관리),경영기획팀,20200000,경영기획팀
S4227,수수료-컨텐츠이용료,경영기획팀,16200000,경영기획팀
C1012,복리후생비-경조금,경영기획팀,5100000,경영기획팀
S4228,통신비-유지보수비,경영기획팀,28600000,경영기획팀
