계정코드,계정명,부서,금액,부서명
S4008,과징금 과태료 벌과금 등,계약관리팀,10300000,계약관리팀
C1003,회의비-사내-워크샵,계약관리팀,14700000,계약관리팀
C1007,보험료-일반비품,계약관리팀,1900000,계약관리팀
S4012,복리후생비-직원시상금,계약관리팀,25900000,계약관리팀
C1006,수선비-비품수선-집기,계약관리팀,3500000,계약관리팀
S4011,복리후생비-장기근속,계약관리팀,29300000,계약관리팀
S4005,장부인쇄비-청약서,계약관리팀,14900000,계약관리팀
C1013,도서신문비-도서비,계약관리팀,4000000,계약관리팀
S4001,수수료-증권거래소,계약관리팀,25600000,계약관리팀
C1010,지급임차료-사무기기(본사),계약관리팀,5200000,계약관리팀
C1012,복리후생비-경조금,계약관리팀,26900000,계약관리팀
C1008,전산비-H/W정비료,계약관리팀,7000000,계약관리팀
C1011,접대비-기타-기타,계약관리팀,9600000,계약관리팀
S4007,통신비-DM실(계약관리),계약관리팀,16300000,계약관리팀
C1004,장부인쇄비-각종,계약관리팀,17400000,계약관리팀
