계정코드,계정명,부서,금액,부서명
C1005,소모품비-문구등,고객지원팀,22300000,고객지원팀
S4200,복리후생비-기타(사내회의),고객지원팀,22100000,고객지원팀
S4192,통신비-DM실(고객관리),고객지원팀,22700000,고객지원팀
C1001,여비교통비-국내출장,고객지원팀,24300000,고객지원팀
C1011,접대비-기타-기타,고객지원팀,21900000,고객지원팀
S4190,도서신문비-고객사외보,고객지원팀,6900000,고객지원팀
C1010,지급임차료-사무기기(본사),고객지원팀,19000000,고객지원팀
S4196,회의비-확대영업회의,고객지원팀,8400000,고객지원팀
C1007,보험료-일반비품,고객지원팀,1400000,고객지원팀
C1012,복리후생비-경조금,고객지원팀,6600000,고객지원팀
C1008,전산비-H/W정비료,고객지원팀,22400000,고객지원팀
C1003,회의비-사내-워크샵,고객지원팀,16800000,고객지원팀
S4195,통신비-우편료(본사외),고객지원팀,18700000,고객지원팀
S4199,소모품비-문서BOX,고객지원팀,5900000,고객지원팀
C1014,협회비-기타,고객지원팀,26700000,고객지원팀
C1002,통신비-전화료(본사),고객지원팀,26500000,고객지원팀
S4193,수수료-기타-기타,고객지원팀,25000000,고객지원팀
C1004,장부인쇄비-각종,고객지원팀,27500000,고객지원팀
C1009,소모품비-사무가구소모품,고객지원팀,2900000,고객지원팀
C1006,수선비-비품수선-집기,고객지원팀,8500000,고객지원팀
