계정코드,계정명,부서,금액,부서명
C1008,전산비-H/W정비료,교육연수팀,13500000,교육연수팀
C1001,여비교통비-국내출장,교육연수팀,7100000,교육연수팀
S4250,지급임차료-현재가치할인차액,교육연수팀,13300000,교육연수팀
C1012,복리후생비-경조금,교육연수팀,24800000,교육연수팀
C1006,수선비-비품수선-집기,교육연수팀,17500000,교육연수팀
C1005,소모품비-문구등,교육연수팀,7600000,교육연수팀
C1007,보험료-일반비품,교육연수팀,18600000,교육연수팀
S4248,차량유지비-유류(기준),교육연수팀,19300000,교육연수팀
S4253,복리후생비-생수(본사외),교육연수팀,6400000,교육연수팀
C1004,장부인쇄비-각종,교육연수팀,3900000,교육연수팀
S4246,수수료-홈페이지인증,교육연수팀,19800000,교육연수팀
C1013,도서신문비-도서비,교육연수팀,17000000,교육연수팀
S4251,소모품비-기타-기타,교육연수팀,600000,교육연수팀
C1010,지급임차료-사무기기(본사),교육연수팀,29000000,교육연수팀
S4247,통신비-전산회선(기타),교육연수팀,10000000,교육연수팀
C1003,회의비-사내-워크샵,교육연수팀,8100000,교육연수팀
S4245,수수료-아웃소싱(우편물발송),교육연수팀,11900000,교육연수팀
S4254,교육-위탁교육,교육연수팀,7700000,교육연수팀
