계정코드,계정명,부서,금액,부서명
C1011,접대비-기타-기타,리스크관리팀,26800000,리스크관리팀
C1013,도서신문비-도서비,리스크관리팀,22000000,리스크관리팀
C1006,수선비-비품수선-집기,리스크관리팀,19500000,리스크관리팀
S4167,교육훈련비(장기신배분),리스크관리팀,14400000,리스크관리팀
S4156,수수료-자문료-기타,리스크관리팀,14200000,리스크관리팀
S4157,통신비-DM실(소득공제),리스크관리팀,13600000,리스크관리팀
S4158,회의비-사외-국제회의,리스크관리팀,30000000,리스크관리팀
C1009,소모품비-사무가구소모품,리스크관리팀,11400000,리스크관리팀
C1008,전산비-H/W정비료,리스크관리팀,17800000,리스크관리팀
S4166,체육진흥비-관람,리스크관리팀,4400000,리스크관리팀
C1010,지급임차료-사무기기(본사),리스크관리팀,28100000,리스크관리팀
C1004,장부인쇄비-각종,리스크관리팀,11200000,리스크관리팀
S4163,수수료-용역기타-기타,리스크관리팀,7200000,리스크관리팀
S4161,광고선전비(대/장기신배분),리스크관리팀,26200000,리스크관리팀
S4165,복리후생비-사복(의료비),리스크관리팀,11900000,리스크관리팀
S4160,광고선전비-홍보전사-홍보,리스크관리팀,10800000,리스크관리팀
S4159,전산비-주전산기운영용역,리스크관리팀,9200000,리스크관리팀
