계정코드,계정명,부서,금액,부서명
S4090,광고선전비-프로모션,마케팅기획팀,13100000,마케팅기획팀
S4088,광고선전비-홍보물제작-DM제작물,마케팅기획팀,5100000,마케팅기획팀
C1008,전산비-H/W정비료,마케팅기획팀,20700000,마케팅기획팀
C1006,수선비-비품수선-집기,마케팅기획팀,3800000,마케팅기획팀
C1013,도서신문비-도서비,마케팅기획팀,10800000,마케팅기획팀
S4096,광고선전비-매체인터넷,마케팅기획팀,29400000,마케팅기획팀
C1005,소모품비-문구등,마케팅기획팀,6500000,마케팅기획팀
C1002,통신비-전화료(본사),마케팅기획팀,22900000,마케팅기획팀
C1012,복리후생비-경조금,마케팅기획팀,10800000,마케팅기획팀
C1014,협회비-기타,마케팅기획팀,25300000,마케팅기획팀
C1003,회의비-사내-워크샵,마케팅기획팀,24700000,마케팅기획팀
S4091,광고선전비-홍보본사외,마케팅기획팀,13200000,마케팅기획팀
C1009,소모품비-사무가구소모품,마케팅기획팀,23800000,마케팅기획팀
C1004,장부인쇄비-각종,마케팅기획팀,10900000,마케팅기획팀
C1007,보험료-일반비품,마케팅기획팀,5300000,마케팅기획팀
S4094,광고선전비(장기신배분),마케팅기획팀,23100000,마케팅기획팀
C1011,접대비-기타-기타,마케팅기획팀,12300000,마케팅기획팀
S4086,광고선전비-리스조정,마케팅기획팀,17600000,마케팅기획팀
C1010,지급임차료-사무기기(본사),마케팅기획팀,16800000,마케팅기획팀
S4093,수수료-이사수수료-사무실,마케팅기획팀,27900000,마케팅기획팀
C1001,여비교통비-국내출장,마케팅기획팀,18400000,마케팅기획팀
