계정코드,계정명,부서,금액,부서명
S4135,수수료-이사수수료-전자문서보관,법무팀,18000000,법무팀
C1001,여비교통비-국내출장,법무팀,9800000,법무팀
S4140,소모품비-용지(본사외),법무팀,29000000,법무팀
C1012,복리후생비-경조금,법무팀,2000000,법무팀
C1010,지급임차료-사무기기(본사),법무팀,14600000,법무팀
C1008,전산비-H/W정비료,법무팀,8100000,법무팀
C1005,소모품비-문구등,법무팀,7400000,법무팀
S4134,보험료-신원보증,법무팀,29100000,법무팀
C1013,도서신문비-도서비,법무팀,29600000,법무팀
C1011,접대비-기타-기타,법무팀,9400000,법무팀
S4142,복리후생비-사복(복지카드),법무팀,9400000,법무팀
C1009,소모품비-사무가구소모품,법무팀,22800000,법무팀
C1002,통신비-전화료(본사),법무팀,12700000,법무팀
C1004,장부인쇄비-각종,법무팀,5200000,법무팀
S4138,광고선전비-협회공동홍보비,법무팀,16400000,법무팀
C1014,협회비-기타,법무팀,17700000,법무팀
S4139,지급임차료-사택,법무팀,27500000,법무팀
C1003,회의비-사내-워크샵,법무팀,4700000,법무팀
C1007,보험료-일반비품,법무팀,24400000,법무팀
C1006,수선비-비품수선-집기,법무팀,11600000,법무팀
