계정코드,계정명,부서,금액,부서명
S4013,교육훈련비-기타(보상),보상팀,17100000,보상팀
C1007,보험료-일반비품,보상팀,25800000,보상팀
C1006,수선비-비품수선-집기,보상팀,15200000,보상팀
S4021,기부금-기타,보상팀,19500000,보상팀
S4020,수수료-계약후서비스차량검사,보상팀,8700000,보상팀
C1001,여비교통비-국내출장,보상팀,2800000,보상팀
S4018,수수료-계약후서비스기타,보상팀,3700000,보상팀
S4016,보험사고예방비-위험진단출장,보상팀,18400000,보상팀
C1005,소모품비-문구등,보상팀,23400000,보상팀
S4017,보험사고예방비-협회,보상팀,29800000,보상팀
C1002,통신비-전화료(본사),보상팀,8500000,보상팀
S4025,복리후생비-식대기타,보상팀,9300000,보상팀
C1008,전산비-H/W정비료,보상팀,21600000,보상팀
C1014,협회비-기타,보상팀,26800000,보상팀
C1009,소모품비-사무가구소모품,보상팀,17800000,보상팀
C1013,도서신문비-도서비,보상팀,27700000,보상팀
C1012,복리후생비-경조금,보상팀,14400000,보상팀
C1010,지급임차료-사무기기(본사),보상팀,20600000,보상팀
S4014,보험사고예방비-사고예방기타,보상팀,17200000,보상팀
C1011,접대비-기타-기타,보상팀,18400000,보상팀
C1003,회의비-사내-워크샵,보상팀,23800000,보상팀
C1004,장부인쇄비-각종,보상팀,21800000,보상팀
