계정코드,계정명,부서,금액,부서명
C1003,회의비-사내-워크샵,상품개발팀,26200000,상품개발팀
S4187,소모품비-팩스소모품,상품개발팀,9800000,상품개발팀
S4186,협회비-손보협회,상품개발팀,13300000,상품개발팀
S4182,수수료-정보이용료기타,상품개발팀,25900000,상품개발팀
C1004,장부인쇄비-각종,상품개발팀,26100000,상품개발팀
S4188,수선비-원상복구비,상품개발팀,18100000,상품개발팀
C1013,도서신문비-도서비,상품개발팀,28300000,상품개발팀
C1012,복리후생비-경조금,상품개발팀,21300000,상품개발팀
S4180,조사연구비-컨설팅,상품개발팀,6100000,상품개발팀
C1009,소모품비-사무가구소모품,상품개발팀,30000000,상품개발팀
C1007,보험료-일반비품,상품개발팀,3100000,상품개발팀
S4185,전산비-보안S/W정비료,상품개발팀,2900000,상품개발팀
C1008,전산비-H/W정비료,상품개발팀,29700000,상품개발팀
C1002,통신비-전화료(본사),상품개발팀,2900000,상품개발팀
C1010,지급임차료-사무기기(본사),상품개발팀,18200000,상품개발팀
S4184,회의비-정보조사,상품개발팀,27800000,상품개발팀
C1006,수선비-비품수선-집기,상품개발팀,16400000,상품개발팀
C1001,여비교통비-국내출장,상품개발팀,16000000,상품개발팀
