계정코드,계정명,부서,금액,부서명
C1011,접대비-기타-기타,언더라이팅팀,5000000,언더라이팅팀
C1006,수선비-비품수선-집기,언더라이팅팀,21900000,언더라이팅팀
C1010,지급임차료-사무기기(본사),언더라이팅팀,500000,언더라이팅팀
C1003,회의비-사내-워크샵,언더라이팅팀,19900000,언더라이팅팀
C1009,소모품비-사무가구소모품,언더라이팅팀,5800000,언더라이팅팀
S4028,조사연구비-연구용역,언더라이팅팀,6400000,언더라이팅팀
S4032,인쇄비(배분),언더라이팅팀,16000000,언더라이팅팀
C1007,보험료-일반비품,언더라이팅팀,23900000,언더라이팅팀
S4035,광고선전비-기타-취재비,언더라이팅팀,9500000,언더라이팅팀
S4037,교육-법인영업,언더라이팅팀,16300000,언더라이팅팀
C1001,여비교통비-국내출장,언더라이팅팀,10800000,언더라이팅팀
C1002,통신비-전화료(본사),언더라이팅팀,1300000,언더라이팅팀
C1014,협회비-기타,언더라이팅팀,22000000,언더라이팅팀
S4031,수수료-아웃소싱(콜센터),언더라이팅팀,9800000,언더라이팅팀
S4036,소모품비-사무용품(본사외),언더라이팅팀,24600000,언더라이팅팀
S4033,통신비-핸드폰사용료,언더라이팅팀,25300000,언더라이팅팀
C1008,전산비-H/W정비료,언더라이팅팀,16100000,언더라이팅팀
C1012,복리후생비-경조금,언더라이팅팀,23400000,언더라이팅팀
C1013,도서신문비-도서비,언더라이팅팀,29600000,언더라이팅팀
C1004,장부인쇄비-각종,언더라이팅팀,2100000,언더라이팅팀
