계정코드,계정명,부서,금액,부서명
C1008,전산비-H/W정비료,영업지원팀,21300000,영업지원팀
S4234,수수료-아웃소싱(차량운행),영업지원팀,5200000,영업지원팀
S4238,수수료-아웃소싱(사무실수선관리),영업지원팀,27200000,영업지원팀
S4235,여비교통비-기타-기타,영업지원팀,13600000,영업지원팀
S4244,복리후생비-기타(기타),영업지원팀,1400000,영업지원팀
C1002,통신비-전화료(본사),영업지원팀,3600000,영업지원팀
S4241,광고선전비-기타-기타,영업지원팀,8100000,영업지원팀
C1013,도서신문비-도서비,영업지원팀,2200000,영업지원팀
C1012,복리후생비-경조금,영업지원팀,13200000,영업지원팀
C1009,소모품비-사무가구소모품,영업지원팀,29800000,영업지원팀
C1005,소모품비-문구등,영업지원팀,17000000,영업지원팀
C1004,장부인쇄비-각종,영업지원팀,11400000,영업지원팀
C1010,지급임차료-사무기기(본사),영업지원팀,4000000,영업지원팀
C1001,여비교통비-국내출장,영업지원팀,17600000,영업지원팀
S4237,여비교통비-부임여비,영업지원팀,20400000,영업지원팀
S4239,수수료-행낭및소화물,영업지원팀,9300000,영업지원팀
C1011,접대비-기타-기타,영업지원팀,17000000,영업지원팀
S4243,소모품비-빔/기타사무기기,영업지원팀,12800000,영업지원팀
S4236,여비교통비-기타-시내교통비,영업지원팀,20900000,영업지원팀
