계정코드,계정명,부서,금액,부서명
S4051,체육진흥비-테니스단(출전비),인사팀,16700000,인사팀
C1006,수선비-비품수선-집기,인사팀,5800000,인사팀
S4067,복리후생비-당직비,인사팀,4200000,인사팀
S4054,교육훈련비-지점장입문,인사팀,19500000,인사팀
S4057,교육훈련비-신임교육,인사팀,15400000,인사팀
S4062,교육훈련비-시설사용료,인사팀,1700000,인사팀
S4058,교육훈련비-멘토링,인사팀,24200000,인사팀
C1004,장부인쇄비-각종,인사팀,10200000,인사팀
S4055,교육훈련비-전문인교육,인사팀,10700000,인사팀
S4056,복리후생비-고용보험료,인사팀,1400000,인사팀
C1010,지급임차료-사무기기(본사),인사팀,1100000,인사팀
C1005,소모품비-문구등,인사팀,1100000,인사팀
C1014,협회비-기타,인사팀,19000000,인사팀
C1007,보험료-일반비품,인사팀,18300000,인사팀
C1013,도서신문비-도서비,인사팀,22400000,인사팀
C1008,전산비-H/W정비료,인사팀,12900000,인사팀
