계정코드,계정명,부서,금액,부서명
C1005,소모품비-문구등,자산운용팀,3000000,자산운용팀
C1010,지급임차료-사무기기(본사),자산운용팀,6900000,자산운용팀
S4170,통신비-SMS전송료,자산운용팀,3000000,자산운용팀
C1001,여비교통비-국내출장,자산운용팀,27100000,자산운용팀
C1014,협회비-기타,자산운용팀,9700000,자산운용팀
S4174,지급임차료-리스조정,자산운용팀,6700000,자산운용팀
C1009,소모품비-사무가구소모품,자산운용팀,25100000,자산운용팀
S4177,복리후생비-부서시상(전략지원부),자산운용팀,1500000,자산운용팀
S4176,복리후생비-커뮤니케이션,자산운용팀,28000000,자산운용팀
C1004,장부인쇄비-각종,자산운용팀,5100000,자산운용팀
S4171,회의비-사외-회의비,자산운용팀,4100000,자산운용팀
S4172,전산비-S/W정비료,자산운용팀,22200000,자산운용팀
S4168,보험료-직원근재,자산운용팀,21500000,자산운용팀
S4169,수수료-자문료-법률자문,자산운용팀,500000,자산운용팀
S4175,수선비-기타,자산운용팀,24000000,자산운용팀
S4173,광고선전비-매체신문,자산운용팀,11300000,자산운용팀
C1007,보험료-일반비품,자산운용팀,23200000,자산운용팀
C1012,복리후생비-경조금,자산운용팀,5600000,자산운용팀
C1003,회의비-사내-워크샵,자산운용팀,10000000,자산운용팀
