계정코드,계정명,부서,금액,부서명
C1012,복리후생비-경조금,재무팀,10200000,재무팀
C1011,접대비-기타-기타,재무팀,21400000,재무팀
C1001,여비교통비-국내출장,재무팀,26900000,재무팀
C1004,장부인쇄비-각종,재무팀,13200000,재무팀
C1002,통신비-전화료(본사),재무팀,4400000,재무팀
S4131,복리후생비-학자금,재무팀,4800000,재무팀
S4120,수수료-송금(본사),재무팀,23500000,재무팀
C1013,도서신문비-도서비,재무팀,4300000,재무팀
C1003,회의비-사내-워크샵,재무팀,19600000,재무팀
S4121,수수료-송금수수료(기간계),재무팀,2200000,재무팀
C1009,소모품비-사무가구소모품,재무팀,26800000,재무팀
S4129,회의비-사내-기타,재무팀,4800000,재무팀
C1008,전산비-H/W정비료,재무팀,5000000,재무팀
S4124,수수료-카드수수료,재무팀,27700000,재무팀
S4128,차량유지비-자가보조금,재무팀,22300000,재무팀
S4126,보험료-기타,재무팀,27800000,재무팀
C1006,수선비-비품수선-집기,재무팀,10700000,재무팀
C1005,소모품비-문구등,재무팀,11900000,재무팀
C1007,보험료-일반비품,재무팀,27400000,재무팀
C1010,지급임차료-사무기기(본사),재무팀,28100000,재무팀
S4130,복리후생비-화환/조화,재무팀,4200000,재무팀
S4122,수수료-송금수수료(본사외),재무팀,15700000,재무팀
C1014,협회비-기타,재무팀,13500000,재무팀
