계정코드,계정명,부서,금액,부서명
C1009,소모품비-사무가구소모품,재보험팀,2600000,재보험팀
S4049,수수료-아웃소싱(교육),재보험팀,1600000,재보험팀
C1005,소모품비-문구등,재보험팀,21900000,재보험팀
C1004,장부인쇄비-각종,재보험팀,19600000,재보험팀
S4050,교육-직원직무연수,재보험팀,7300000,재보험팀
C1003,회의비-사내-워크샵,재보험팀,12100000,재보험팀
C1012,복리후생비-경조금,재보험팀,5200000,재보험팀
C1008,전산비-H/W정비료,재보험팀,27800000,재보험팀
S4045,도서신문비-신문및간행물(본사외),재보험팀,27400000,재보험팀
C1013,도서신문비-도서비,재보험팀,16000000,재보험팀
C1007,보험료-일반비품,재보험팀,11400000,재보험팀
S4040,인쇄비(장기신배분),재보험팀,27600000,재보험팀
C1014,협회비-기타,재보험팀,26300000,재보험팀
C1001,여비교통비-국내출장,재보험팀,3300000,재보험팀
S4041,행사비-기타,재보험팀,7300000,재보험팀
S4044,광고선전비-옥외기타,재보험팀,20900000,재보험팀
C1010,지급임차료-사무기기(본사),재보험팀,7100000,재보험팀
C1006,수선비-비품수선-집기,재보험팀,6600000,재보험팀
C1002,통신비-전화료(본사),재보험팀,26900000,재보험팀
C1011,접대비-기타-기타,재보험팀,18700000,재보험팀
