계정코드,계정명,부서,금액,부서명
C1014,협회비-기타,준법감시팀,16500000,준법감시팀
C1008,전산비-H/W정비료,준법감시팀,26000000,준법감시팀
S4144,보험료-영업이행보증,준법감시팀,9800000,준법감시팀
C1005,소모품비-문구등,준법감시팀,6800000,준법감시팀
S4145,수수료-인증수수료,준법감시팀,5400000,준법감시팀
S4146,통신비-DM실(DM우편),준법감시팀,19100000,준법감시팀
S4148,전산비-기타-부대설비,준법감시팀,4500000,준법감시팀
C1010,지급임차료-사무기기(본사),준법감시팀,16300000,준법감시팀
C1002,통신비-전화료(본사),준법감시팀,3500000,준법감시팀
C1011,접대비-기타-기타,준법감시팀,15700000,준법감시팀
S4153,복리후생비-사복(학자금),준법감시팀,5000000,준법감시팀
S4149,광고선전비-매체제작비,준법감시팀,8200000,준법감시팀
C1003,회의비-사내-워크샵,준법감시팀,2000000,준법감시팀
C1009,소모품비-사무가구소모품,준법감시팀,5800000,준법감시팀
S4154,체육진흥비-전사,준법감시팀,8400000,준법감시팀
S4150,소모품비-방송센터소모품,준법감시팀,18900000,준법감시팀
C1004,장부인쇄비-각종,준법감시팀,4300000,준법감시팀
S4147,회의비-사내-후선회의,준법감시팀,20800000,준법감시팀
S4155,복리후생비-기타(본사차대),준법감시팀,21900000,준법감시팀
C1007,보험료-일반비품,준법감시팀,17000000,준법감시팀
