계정코드,계정명,부서,금액,부서명
C1014,협회비-기타,총무팀,15300000,총무팀
S4073,지급임차료-기타-기타,총무팀,9900000,총무팀
S4076,수도광열비-사옥관리,총무팀,20300000,총무팀
S4072,지급임차료-기타-주차장,총무팀,21900000,총무팀
C1003,회의비-사내-워크샵,총무팀,1900000,총무팀
C1004,장부인쇄비-각종,총무팀,900000,총무팀
S4068,수수료-아웃소싱(사옥관리),총무팀,22400000,총무팀
S4080,수선비-전산네트웍공사,총무팀,2200000,총무팀
C1005,소모품비-문구등,총무팀,12400000,총무팀
S4083,교육훈련비-AM영업,총무팀,1900000,총무팀
C1011,접대비-기타-기타,총무팀,27700000,총무팀
C1010,지급임차료-사무기기(본사),총무팀,19900000,총무팀
C1002,통신비-전화료(본사),총무팀,19500000,총무팀
C1012,복리후생비-경조금,총무팀,2100000,총무팀
S4070,수선비-기타-홍보관련,총무팀,25700000,총무팀
S4077,지급임차료-사무기기(본사외),총무팀,9400000,총무팀
