계정코드,계정명,부서,금액,부서명
S4207,광고선전비-제휴,홍보팀,6900000,홍보팀
S4209,지급임차료-ASP,홍보팀,11300000,홍보팀
S4201,도서신문비-사보,홍보팀,13200000,홍보팀
S4203,수수료-채권설정비(사무실),홍보팀,2800000,홍보팀
S4204,통신비-우편료기타(본사),홍보팀,7800000,홍보팀
C1006,수선비-비품수선-집기,홍보팀,18600000,홍보팀
C1004,장부인쇄비-각종,홍보팀,29800000,홍보팀
C1002,통신비-전화료(본사),홍보팀,7200000,홍보팀
C1003,회의비-사내-워크샵,홍보팀,1700000,홍보팀
C1012,복리후생비-경조금,홍보팀,10600000,홍보팀
C1009,소모품비-사무가구소모품,홍보팀,1400000,홍보팀
C1014,협회비-기타,홍보팀,1100000,홍보팀
C1008,전산비-H/W정비료,홍보팀,23100000,홍보팀
C1001,여비교통비-국내출장,홍보팀,13000000,홍보팀
C1007,보험료-일반비품,홍보팀,4500000,홍보팀
C1011,접대비-기타-기타,홍보팀,11300000,홍보팀
C1010,지급임차료-사무기기(본사),홍보팀,21900000,홍보팀
C1013,도서신문비-도서비,홍보팀,22400000,홍보팀
S4206,전산비-호스트H/W정비료,홍보팀,14800000,홍보팀
S4202,수수료-기타-취재비,홍보팀,10200000,홍보팀
C1005,소모품비-문구등,홍보팀,23800000,홍보팀
